N,P,K,temperature,humidity,ph,rainfall,label
90,9,41,27.954872668054453,87.35186098416719,6.231205392427917,39.920366737418966,muskmelon
22,55,12,24.66859757167081,60.89097041939934,7.173120246298194,62.10406693230279,lentil
108,36,45,24.34232618600395,75.84189602903587,6.830300659308107,1997.3130328532402,rice
92,23,52,24.361718885244464,79.63696020947779,7.28558714720614,2057.938768528513,rice
108,5,54,24.019637934848888,93.51818843198643,6.663417426345769,58.20092047937255,muskmelon
38,18,23,32.33782838998312,47.60232798847629,6.136618911215372,994.9163188114918,mango
98,11,43,28.614699123715766,81.70378122259115,6.472161583017389,20.129844008833864,watermelon
51,38,55,31.241863331850325,88.49938135792503,6.873590565005326,119.48085497753624,papaya
126,66,64,27.473590881752674,77.9298221982899,5.096455221232037,1023.5936511564955,banana
107,5,70,26.15741802037831,94.92961553359774,6.784585790009041,20.0,muskmelon
12,38,13,26.76746195183945,88.55199196477848,7.812974096317714,20.0,mungbean
49,84,29,18.22123016626788,19.994336271324414,6.412357529450357,131.44381215090422,kidneybeans
21,46,63,31.74802529217749,90.17412885801012,6.803378003511098,80.62315976929101,papaya
3,65,31,29.675598616834613,87.93606338645688,5.874051298525728,152.7959403479706,coconut
26,35,6,32.207848632075155,67.93580944047281,7.597114841638057,80.20540847629712,blackgram
32,98,202,18.167697115340232,82.65827019116828,5.494970495088568,167.68571830540904,apple
6,30,13,24.40681046004557,79.28566823266547,6.770176250312313,65.356360058062,mungbean
3,25,54,30.943384882135152,48.49218426813695,5.58209675347601,945.3158824741024,mango
95,36,42,27.111171245790082,86.34803050054107,6.518868374460822,2057.041611169506,rice
3,10,16,20.487363908136494,47.514503744623525,6.901253464841846,53.37934669698686,mothbeans
58,38,33,30.976508706268245,90.61177553763805,6.538248863033449,96.15863647269468,papaya
58,79,11,27.347343915678643,20.75337865909811,5.788345611581967,164.98743488902886,kidneybeans
12,10,12,21.47104373548381,90.94485927414695,6.72391834006203,192.74442459264603,coconut
39,75,30,28.299843966046183,70.27240074782237,7.269542149421772,152.89798754647217,blackgram
61,71,5,26.061294293412097,75.72134427172884,6.724251491617644,116.89514378935249,jute
88,36,41,26.979509575911198,75.87272216876235,5.866637410683613,20.0,watermelon
